Language,Speaker tier,Count,Lemma,English lemma,Clarifier,POS,Gender,Number,Tense,Notes,Occurring in files …
,,,,,,,,,,,
,,,,,,,,,,,
cym,achan,44,achan,mate,,N,M,S,,"in new GPC (""->bachgen"")","davies4,davies6,fusser11,fusser12,fusser9,robert8"
cym,achau,5,ach,lineage,ancestry,N,F,P,,"or lemmau ""achau"" with gloss ""ages""?","davies1,fusser23,fusser6,roberts4"
cym,actol,1,actol,dramatic,,ADJ,,,,,fusser23
cym,adduniad,1,aduniad,reunion,,N,M,S,,mispronounced,roberts4
cym,adeiladwyr,7,adeiladwr,builder,,N,M,P,,,fusser5
cym,adferteisio,5,adferteisio,advertise,,V,,,INFIN,GPC,"fusser21,fusser25,robert5,robert7"
cym,adnabodais,1,adnabod,recognise,,V,,S,PAST,1S,robert8
cym,aduniad,4,aduniad,reunion,,N,M,S,,,"fusser23,stammers1"
cym,aeliau,2,ael,eyebrow,,N,F,P,,,fusser12
cym,aetha,2,,,,,,,,"changed to ""aetha"" (one instance only)",roberts3
cym,aethai,2,mynd,go,,V,,S,IMPERF/COND,3S,roberts3
cym,aethan,1,mynd,go,,V,,P,PAST,3P,fusser28
cym,affliw,1,,particle,,N,M,S,,GPC,fusser9
cym,afiach,23,,unhealthy,,ADJ,,,,,"davies12,davies2,davies7,davies9,fusser27,fusser29,fusser30,fusser5,robert3,robert4"
cym,ailagor,3,ailagor,reopen,,V,,,INFIN,GPC,"davies14,fusser23,stammers9"
cym,ail_agor,1,,,,,,,,"changed to ""ailagor""",fusser23
cym,ail_blastro,1,,,,,,,,"changed to ""ailblastro""",stammers6
cym,ailblastro,1,ailblastro,replaster,,V,,,INFIN,"in GyA as ""ailblastro""",stammers6
cym,ailbobi,1,ailbobi,rehash,,V,,,INFIN,GPC,robert4
cym,ailbrynu,1,ailbrynu,buy_again,,V,,,INFIN,GPC,fusser3
cym,aildwymo,1,aildwymo,reheat,,V,,,INFIN,GPC,robert1
,,,,,,,,,,,
cym,ailhysbysebu,1,,,,,,,,"changed to ""ail_hysbysebu"" as dictionaries don't have it as one word",stammers6
cym,ail_hysbysebu,1,ail_hysbysebu,re-advertise,,V,,,INFIN,,stammers6
cym,ail_law,4,ail_law,second_hand,,ADJ,,,,"GPC ""ail-law, ail law""","fusser13,fusser5"
cym,ail_leflo,1,ail_leflo,relevel,,V,,,INFIN,"""lefl(i)o"" is in GPC",davies4
cym,ail_llenwi,1,ail_lenwi,refill,,V,,,INFIN,"GPC ""ail-lenwi""",robert3
cym,ailnewid,1,,,,,,,,"changed to ""ail_newid"" as not in dictionaries",robert2
cym,ail_newid,1,ail_newid,re_change,,V,,,INFIN,,robert2
cym,ailolwg,1,,,,,,,,have split it up,stammers9
cym,ail_roid,2,,,,,,,,"changed to ""ailroid"", as ""ailroi"" is in GPC without hyphen",davies5
cym,ailroid,,ailroi,reput,,,,,,"""ailroi"" in GPC",davies5
cym,ailsgwennu,2,ailsgrifennu,rewrite,,V,,,INFIN,"""ailsgrifenni"" in GPC","robert9,stammers9"
