Language,Speaker tier,Count,Lemma,English lemma,Clarifier,POS,Gender,Number,Tense,Notes,Occurring in files …
cym,0,1,,,,,,,,"? ""[- eng] 0 [=! inhales] (.) 0 [=! exhales] ."" Seems to be a notation for non-verbal sounds - see further examples under @eng. Language???",fusser21
eng,0,8,,,,,,,,"? seems to be a notation for non-verbal sounds, e.g. davies12: ""[- eng] 0 [% seems to be laughing and clearing her throat at the same time] ""; fusser14: ""[- eng] 0 [=! kisses twice]""","davies12,fusser14,fusser17,fusser21,robert7"
cym,(am)boutu,1,amboutu,about,,PREP,,,,"GPC has ""amboutu -> obeutu""; GyA ""biti/boiti/amboutu""",davies13
cym,(da)cw,1,dacw,there,,ADV,,,,"(GPC only mentions variant ""'co"" in ""dacw"" article)","fusser3,"
cym,(deu)dwch,9,dweud,say,,V,,2P,IMPER,in doc file,"fusser11,fusser4,fusser8,robert8"
eng,a_four,1,,,,,,,,have split this up,fusser8
cym&eng,a_ha,2,,,,,,,,"changed to ""aha""",davies14
cym,a_pedwar,1,,,,,,,,have split this up,robert3
cym&eng,aargh,4,,,,,,,,"in OED, not in Welsh dictionaries nor 2012 IM list => @eng","fusser25,robert3"
eng,aargh,4,aargh,aargh,,IM,,,,"in OED, not in Welsh dictionaries nor 2012 IM list => @eng","fusser25,robert3"
cym,abod,1,,,,,,,,X didn't find this in the transcription,robert5
cym,achan,44,achan,mate,,N,M,S,,"in new GPC (""->bachgen"")","davies4,davies6,fusser11,fusser12,fusser9,robert8, fusser11"
cym,achau,5,ach,lineage,ancestry,N,F,P,,,"davies1,fusser23,fusser6,roberts4"
cym&eng,acoeliac,1,,,,,,,,"error for ""coeliac""",stammers6
cym,actol,1,actol,dramatic,,ADJ,,,,,fusser23
cym,adduniad,1,,,,,,,,"error for ""aduniad""",roberts4
cym&eng,addyned,1,,,,,,,,cited form (error),fusser30
cym,adeiladwyr,7,adeiladwr,builder,,N,M,P,,,fusser5
cym,adferteisio,5,adferteisio,advertise,,V,,,INFIN,GPC,"fusser21,fusser25,robert5,robert7"
cym,adnabodais,1,adnabod,recognise,,V,,1S,PAST,"! King only has ""-bydd-"" forms for ""bod"" derivatives, Thomas has ""adnabûm"" and ""adnabyddais""",robert8
cym,aduniad,4,aduniad,reunion,,N,M,S,,,"fusser23,stammers1"
cym,aeliau,2,ael,eyebrow,,N,F,P,,,fusser12
cym,aetha,2,,,,,,,,"changed to ""aethai"" (one instance only)",roberts3
cym,aethai,2,mynd,go,,V,,3S,IMPERF/COND,"! cf. ""aethan"" and ""aethen""",roberts3
cym,aethan,1,mynd,go,,V,,3P,COND,"! interpretation according to manual gloss; has ""[?]"" attached to it; cf. ""aethen"" and ""yn_aethan""",fusser28
cym,aethen,1,mynd,go,,V,,1S,COND,"! doesn't seem to be covered by the grammars, looks like a COND form based on PAST stem",davies1
cym&eng,afaddyned,1,,,,,,,,cited form (error),fusser30
cym,affliw,1,,particle,,N,M,S,,GPC,fusser9
cym,afiach,23,,unhealthy,,ADJ,,,,,"davies12,davies2,davies7,davies9,fusser27,fusser29,fusser30,fusser5,robert3,robert4"
cym&eng,aha,2,aha,aha,,IM,,,,"GPC, 2012 IM list",davies14
cym,ail_agor,1,,,,,,,,"changed to ""ailagor""",fusser23
cym,ail_blastro,1,,,,,,,,"changed to ""ailblastro""",stammers6
cym,ail_law,4,ail_law,second_hand,,ADJ,,,,"GPC ""ail-law, ail law""","fusser13,fusser5"
cym,ail_leflo,1,ail_leflo,relevel,,V,,,INFIN,"""lefl(i)o"" is in GPC",davies4
cym,ail_llenwi,1,ail_lenwi,refill,,V,,,INFIN,"GPC ""ail-lenwi""",robert3
cym,ail_roid,2,,,,,,,,"changed to ""ailroid"", as ""ailroi"" is in GPC without hyphen",davies5
cym,ail_wneud,14,ail_wneud,redo,,V,,,INFIN,"GPC ""ail-wneud""","davies12,davies2,fusser13,fusser23,fusser3,fusser30,robert4,stammers6"
cym,ailagor,3,ailagor,reopen,,V,,,INFIN,GPC,"davies14,fusser23,stammers9"
cym,ailblastro,1,ailblastro,replaster,,V,,,INFIN,"in GyA as ""ailblastro""",stammers6
cym,ailbobi,1,ailbobi,rehash,,V,,,INFIN,GPC,robert4
cym,ailbrynu,1,ailbrynu,buy_again,,V,,,INFIN,GPC,fusser3
cym,aildwymo,1,aildwymo,reheat,,V,,,INFIN,GPC,robert1
cym,aileistedd,2,aileistedd,resit,,,,,,"not in dictionaries, but should be covered by GPC entry for prefix ""ail-""",davies5
cym,ailhysbysebu,1,ailhysbysebu,re-advertise,,V,,,INFIN,"not in dictionaries, but should be covered by GPC entry for prefix ""ail-""",stammers6
cym,ailnewid,1,ailnewid,re_change,,V,,,INFIN,"not in dictionaries, but should be covered by GPC entry for prefix ""ail-""",robert2
cym,ailolwg,1,,,,,,,,have split this up,stammers9
cym,ailroid,2,ailroi,reput,,,,,,"""ailroi"" in GPC",davies5
cym,ailsgwennu,2,ailsgwennu,rewrite,,V,,,INFIN,"""ail-"", ""sgwennu"" and ""ailysgrifennu"" in GPC","robert9,stammers9"
eng+cym,aim_ia,1,aim_io,aim,,V,,2S,IMPER,,davies16
cym,alaw,1,alaw,melody,,N,MF,S,,,stammers8
cym&eng,alcopop,1,alcopop,alcopop,,N,M,S,,GPC,davies6
cym,allor,2,allor,altar,,N,F,S,,,"fusser30,fusser6"
cym,allt,15,allt,slope,,N,F,S,,,"davies10,davies11,davies12,fusser17,fusser4,robert3,robert5,stammers3"
cym,almaeneg,3,,German Language,,N,F,SG,,"changed to ""Almaeneg""","roberts1,roberts2"
cym,alô,1,,,,,,,,"error for ""yn_ôl""",fusser17
cym,amarch,1,amarch,dishonour,,N,M,S,,GPC,davies2
cym,amboutu,23,amboutu,about,,PREP,,,,"GPC (""->obeutu"")","davies1,davies13,fusser27,fusser3,fusser6,robert1"
cym,amdanan,2,am,about,,PREP,,13P,,,"robert4,robert5"
cym,amddo,1,am,about,,PREP,M,3S,,"non-standard form covered by ""we represent non-standard usage of inflected prepositions"" in doc file (?); added comment tier",fusser19
cym,amharch,1,,,,,,,,"changed to ""amarch""",davies2
cym,amhrisiadwy,1,amhrisiadwy,priceless,,ADJ,,,,,fusser23
cym,amla,1,aml,often,,ADJ.SUP,,,,,davies2
cym,amlyca,1,amlwg,obvious,,ADJ.SUP,,,,,roberts1
cym,amserion,1,amser,time,,N,M,P,,GPC,fusser17
cym,anadfantais,1,anfantais,disadvantage,,N,F,S,,error,fusser4
cym,analeisio,1,analeisio,analyse,,V,,,INFIN,GPC,davies15
cym,anelwig,1,anelwig,worthless,,ADJ,,,,,fusser14
cym,anfaddeuol,2,anfaddeuol,unforgivable,,ADJ,,,,,stammers1
cym,anferthol,1,anferthol,huge,,ADJ,,,,GPC,roberts1
cym,anghredadwy,3,anghredadwy,unbelieveable,,ADJ,,,,GPC,"fusser12,robert9"
cym,anghwrtais,1,anghwrtais,discourteous,,ADJ,,,,GPC,fusser18
cym,anglicanaidd,1,,,,,,,,"changed to ""Anglicanaidd""",davies17
cym,Anglicanaidd,1,Anglicanaidd,Anglican,,ADJ,,,,,davies17
cym,anhawsterau,1,,,,,,,,"changed to ""anawsterau""",fusser15
cym,anian,1,anian,nature,,N,MF,S,,GPC,fusser12
cym,anlwc,2,anlwc,misfortune,,N,M,S,,GPC,"davies11,davies16"
cym,annaturiol,2,annaturiol,unnatural,,ADJ,,,,GPC,"davies17,davies7"
cym,annhegwch,1,annhegwch,injustice,,N,M,S,,GPC,fusser12
cym,annwyds,1,annwyd,cold,,N,F,P,,! this plural not in dictionaries,fusser18
cym,anobeithiol,2,anobeithiol,hopeless,,ADJ,,,,,fusser5
cym,anonest,1,anonest,dishonest,,ADJ,,,,,fusser12
cym,anorffenedig,1,anorffenedig,incomplete,,ADJ,,,,,davies5
cym,ansensitif,1,ansensitif,insensitive,,ADJ,,,,GPC,robert6
cym&eng,antiobitic,1,,,,,,,,"typo - changed to ""antibiotic""",davies14
cym,ar_bwys,2,ar_bwys,near,,PREP,,,,! needs adding to phrasal prep list in doc file,"davies11,robert1"
cym,ar_fin,1,ar_fin,on_the_verge,,ADV,,,,! needs adding to phrasal prep & adv list in doc file - or split up into two words,fusser15
cym,ar_gael,10,ar_gael,available,,ADV,,,,! needs adding to phrasal prep & adv list in doc file - or split up into two words,"fusser15,fusser18,fusser19,robert1,roberts1"
cym,ar_lein,2,ar_lein,on-line,,ADV,,,,"""ar-lein -> ar lein"" GPC",davies13
cym,ara,8,araf,slow,,ADJ,,,,,"davies10,fusser22,fusser4,roberts2,roberts4,stammers6,stammers8"
cym,archaeoleg,1,archaeoleg,archaeology,,N,F,S,,GPC,fusser26
cym,archdderwydd,1,archdderwydd,archdruid,,N,M,S,,GPC,davies11
cym,archdiacon,3,archdiacon,archdeacon,,N,M,S,,GPC,davies17
